Laptop Apple MacBook Pro;6.399,00 Lei;
Laptop Gaming Acer Nitro;5.549,00 Lei;
Laptop Huawei MateBook;1.899,00 Lei;
Laptop Huawei D14;2.499,99 Lei;
Laptop Gaming Acer;6.299,99 Lei;
Laptop ultraportabil Huawei;2.399,99 Lei;
